City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,nova sintra,14.8667,-24.7167,22.61,68,61,2.7,CV,1699774343
150,mount gambier,-37.8333,140.7667,13.89,67,86,4.51,AU,1699774344
151,egersund,58.4513,5.9997,1.16,71,63,2.75,NO,1699774344
152,uturoa,-16.7333,-151.4333,27.23,82,11,3.61,PF,1699774344
153,yei,4.095,30.6779,29.48,54,31,0.43,SS,1699774343
154,weining,26.85,104.2333,10.76,88,99,2.63,CN,1699774167
155,choibalsan,48.0667,114.5,-8.92,84,5,4.44,MN,1699774345
156,portland,45.5234,-122.6762,10.64,93,100,1.34,US,1699774346
157,kupang,-10.1667,123.5833,34.32,55,75,5.66,ID,1699774334
158,wailua homesteads,22.0669,-159.378,25.44,81,75,7.72,US,1699774346
159,coahuayana de hidalgo,18.7,-103.6583,24.78,88,95,1.36,MX,1699774346
160,north battleford,52.7834,-108.2847,4.05,65,100,7.72,CA,1699774347
161,mount pearl,47.5166,-52.7813,2.3,95,100,7.72,CA,1699774347
162,north bend,43.4065,-124.2243,11.07,100,75,2.57,US,1699774347
163,keflavik,64.0049,-22.5624,5.24,75,75,8.23,IS,1699774347
164,kokopo,-4.352,152.2633,26.39,79,83,5.16,PG,1699774348
165,hadibu,12.65,54.0333,28.16,78,98,6.76,YE,1699774348
166,iqaluit,63.7506,-68.5145,-16.15,77,75,7.2,CA,1699774349
167,kenai,60.5544,-151.2583,-8.95,92,0,0.0,US,1699774349
168,kodiak,57.79,-152.4072,2.73,48,0,8.23,US,1699774349
169,asau,46.4333,26.4,7.51,80,100,9.01,RO,1699774349
170,touros,-5.1989,-35.4608,24.54,74,6,4.68,BR,1699774350
171,birao,10.2849,22.7882,31.95,46,90,0.84,CF,1699774350
172,cheremukhovo,60.3484,59.9851,0.46,98,100,0.89,RU,1699774350
173,carolina beach,34.0352,-77.8936,11.68,92,100,7.16,US,1699774351
174,labrador city,52.9463,-66.9114,-8.05,79,100,4.12,CA,1699774351
175,coquimbo,-29.9533,-71.3436,12.85,87,0,1.54,CL,1699774351
176,weno,7.4515,151.8468,28.62,70,87,1.96,FM,1699774352
177,bijelo polje,43.0337,19.747,8.16,81,80,1.73,ME,1699774352
178,sinop,41.7711,34.8709,15.12,72,100,3.06,TR,1699774352
179,koundara,12.4833,-13.3,23.88,61,100,1.1,GN,1699774353
180,talnakh,69.4865,88.3972,-6.55,95,100,7.08,RU,1699774353
181,coaticook,45.1334,-71.7991,-1.13,91,70,0.9,CA,1699774263
182,viedma,-40.8135,-62.9967,11.14,34,0,9.6,AR,1699774353
183,turpan,42.9333,89.1667,12.97,21,11,1.11,CN,1699774354
184,broome,42.2506,-75.833,2.21,69,100,3.09,US,1699774354
185,glendive,47.1053,-104.7125,8.43,49,75,7.72,US,1699774355
186,paka,4.6374,103.4368,30.96,70,40,3.09,MY,1699774355
187,pisco,-13.7,-76.2167,18.03,88,5,1.03,PE,1699774355
188,queenstown,-31.8976,26.8753,15.19,48,100,2.24,ZA,1699774184
189,berdigestyakh,62.0989,126.6992,-10.29,89,100,6.12,RU,1699774356
190,prince george,53.9166,-122.753,1.46,82,75,3.09,CA,1699774356
191,vorgashor,67.5833,63.95,-6.11,97,94,3.16,RU,1699774357
192,sisimiut,66.9395,-53.6735,-7.45,75,100,6.03,GL,1699774357
193,broken hill,-31.95,141.4333,28.3,14,40,9.52,AU,1699774205
194,tura,25.5198,90.2201,27.15,53,0,1.29,IN,1699774358
195,happy valley-goose bay,53.3168,-60.3315,-5.83,73,75,3.09,CA,1699774358
196,ayr,55.4627,-4.6339,2.99,87,0,5.14,GB,1699774358
197,bucerias,20.75,-105.3333,24.67,88,77,1.09,MX,1699774359
198,bumba,2.1833,22.4667,26.39,74,92,1.35,CD,1699774359
199,gadzhiyevo,69.2551,33.3362,-7.36,98,61,3.22,RU,1699774360
200,at taraf,25.3628,49.725,28.3,41,57,3.53,SA,1699774360
201,kashgar,39.4547,75.9797,11.56,30,0,2.0,CN,1699774361
202,mpulungu,-8.7623,31.1141,29.51,47,88,2.45,ZM,1699774361
203,viqueque,-8.8673,126.3658,30.23,53,33,3.3,TL,1699774361
204,bueng kan,18.363,103.6519,33.62,45,34,1.43,TH,1699774361
205,guozhen,34.3659,107.359,7.8,50,100,1.55,CN,1699774362
206,vilyuchinsk,52.9306,158.4028,-2.26,73,48,6.84,RU,1699774362
207,tidjikja,18.5564,-11.4271,23.03,18,16,4.16,MR,1699774362
